"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"2410","20180528-M-Roland_Garros-R128-Borna_Coric-Philipp_Kohlschreiber",2,112,72,4,36,46,33,33,1,1,108,71
"2411","20090404-M-Miami_Masters-SF-Roger_Federer-Novak_Djokovic",1,80,41,4,22,34,16,30,2,1,74,40
"2412","20090404-M-Miami_Masters-SF-Roger_Federer-Novak_Djokovic",2,73,47,4,18,27,26,20,0,0,0,0
"2413","20140903-M-US_Open-QF-Novak_Djokovic-Andy_Murray",1,152,93,8,51,62,39,51,1,1,148,92
"2414","20140903-M-US_Open-QF-Novak_Djokovic-Andy_Murray",2,133,76,9,42,48,41,44,1,1,128,75
"2415","20010225-M-Rotterdam-F-Roger_Federer-Nicolas_Escude",1,108,67,11,35,40,30,38,4,2,100,65
"2416","20010225-M-Rotterdam-F-Roger_Federer-Nicolas_Escude",2,115,70,8,35,56,20,39,4,1,106,69
"2417","20050220-M-Rotterdam-F-Roger_Federer-Ivan_Ljubicic",1,97,75,12,47,49,10,38,7,6,88,69
"2418","20050220-M-Rotterdam-F-Roger_Federer-Ivan_Ljubicic",2,131,87,14,50,62,22,47,1,0,127,87
"2419","19960616-M-Queens_Club-F-Stefan_Edberg-Boris_Becker",1,62,40,1,28,29,21,12,48,34,10,6
"2420","19960616-M-Queens_Club-F-Stefan_Edberg-Boris_Becker",2,75,52,6,32,27,18,30,60,42,10,10
"2421","20141004-M-Beijing-SF-Novak_Djokovic-Andy_Murray",1,62,44,4,17,26,16,20,2,2,60,42
"2422","20141004-M-Beijing-SF-Novak_Djokovic-Andy_Murray",2,58,32,4,16,20,17,21,0,0,0,0
"2423","20050612-M-Halle-F-Roger_Federer-Marat_Safin",1,97,72,9,46,47,16,34,21,14,75,58
"2424","20050612-M-Halle-F-Roger_Federer-Marat_Safin",2,97,68,11,42,39,24,34,16,8,81,60
"2425","20050226-M-Dubai-F-Roger_Federer-Ivan_Ljubicic",1,102,68,6,42,40,28,34,23,14,77,54
"2426","20050226-M-Dubai-F-Roger_Federer-Ivan_Ljubicic",2,89,52,5,35,42,13,34,4,3,85,49
"2427","20030301-M-Dubai-F-Roger_Federer-Jiri_Novak",1,59,37,3,13,31,10,18,7,5,48,32
"2428","20030301-M-Dubai-F-Roger_Federer-Jiri_Novak",2,63,32,0,9,22,25,16,0,0,0,0
"2429","20030713-M-Gstaad-F-Roger_Federer-Jiri_Novak",1,148,89,18,59,65,31,52,65,41,72,48
"2430","20030713-M-Gstaad-F-Roger_Federer-Jiri_Novak",2,142,90,3,45,63,45,34,1,0,137,90
"2431","20180604-M-Roland_Garros-R16-John_Isner-Juan_Martin_Del_Potro",1,82,51,12,39,42,18,22,11,8,67,43
"2432","20180604-M-Roland_Garros-R16-John_Isner-Juan_Martin_Del_Potro",2,91,65,6,41,37,16,38,0,0,0,0
"2433","20180605-M-Roland_Garros-QF-Alexander_Zverev-Dominic_Thiem",1,89,45,2,23,47,16,26,9,8,76,37
"2434","20180605-M-Roland_Garros-QF-Alexander_Zverev-Dominic_Thiem",2,67,50,5,20,49,11,7,0,0,0,0
"2435","20060723-M-Amersfoort-F-Novak_Djokovic-Nicolas_Massu",1,67,42,7,25,24,14,29,0,0,0,0
"2436","20060723-M-Amersfoort-F-Novak_Djokovic-Nicolas_Massu",2,78,48,10,28,32,19,26,0,0,0,0
"2437","20000928-M-Olympics-F-Yevgeny_Kafelnikov-Tommy_Haas",1,161,106,19,59,62,45,54,3,3,155,103
"2438","20000928-M-Olympics-F-Yevgeny_Kafelnikov-Tommy_Haas",2,166,103,20,62,43,38,85,0,0,0,0
"2439","20090110-M-Doha-F-Andy_Roddick-Andy_Murray",1,41,23,3,13,21,5,15,11,8,30,15
"2440","20090110-M-Doha-F-Andy_Roddick-Andy_Murray",2,50,37,5,16,26,7,17,0,0,0,0
"2441","20180605-M-Roland_Garros-QF-Marco_Cecchinato-Novak_Djokovic",1,155,91,6,45,75,13,65,0,0,0,0
"2442","20180605-M-Roland_Garros-QF-Marco_Cecchinato-Novak_Djokovic",2,124,76,5,34,63,21,40,2,1,120,75
"2443","20121007-M-Beijing-F-Novak_Djokovic-Jo_Wilfried_Tsonga",1,66,44,0,21,32,12,22,2,1,62,43
"2444","20121007-M-Beijing-F-Novak_Djokovic-Jo_Wilfried_Tsonga",2,73,40,9,23,24,19,30,12,6,58,34
"2445","20090601-M-Roland_Garros-R16-Roger_Federer-Tommy_Haas",1,129,98,15,63,54,34,41,5,3,123,95
"2446","20090601-M-Roland_Garros-R16-Roger_Federer-Tommy_Haas",2,145,91,11,53,46,30,69,0,0,0,0
"2447","20070107-M-Adelaide-F-Chris_Guccione-Novak_Djokovic",1,105,65,13,50,44,21,40,85,50,15,15
"2448","20070107-M-Adelaide-F-Chris_Guccione-Novak_Djokovic",2,113,72,4,42,43,30,40,6,4,101,68
"2449","20041026-M-St_Petersburg-R32-Sargis_Sargsian-Irakli_Labadze",1,82,53,7,31,33,24,25,8,6,71,47
"2450","20041026-M-St_Petersburg-R32-Sargis_Sargsian-Irakli_Labadze",2,70,37,4,19,21,17,32,2,1,61,36
"2451","20180531-M-Roland_Garros-R64-Marton_Fucsovics-Kyle_Edmund",1,91,53,7,26,25,29,37,1,0,85,53
"2452","20180531-M-Roland_Garros-R64-Marton_Fucsovics-Kyle_Edmund",2,89,60,2,26,18,28,43,0,0,0,0
"2453","20180608-M-Roland_Garros-SF-Rafael_Nadal-Juan_Martin_Del_Potro",1,83,58,0,25,33,21,29,4,4,76,54
"2454","20180608-M-Roland_Garros-SF-Rafael_Nadal-Juan_Martin_Del_Potro",2,65,36,2,17,31,4,30,2,1,62,35
"2455","20180610-M-Roland_Garros-F-Rafael_Nadal-Dominic_Thiem",1,82,58,0,18,23,24,35,0,0,0,0
"2456","20180610-M-Roland_Garros-F-Rafael_Nadal-Dominic_Thiem",2,102,55,7,26,52,16,34,1,0,96,55
"2457","20090228-M-Dubai-F-Novak_Djokovic-David_Ferrer",1,63,39,3,13,27,17,19,0,0,0,0
"2458","20090228-M-Dubai-F-Novak_Djokovic-David_Ferrer",2,59,31,4,9,23,20,16,0,0,0,0
"2459","19870823-M-Cincinnati-F-Boris_Becker-Stefan_Edberg",1,78,38,3,18,19,29,30,40,23,31,15
"2460","19870823-M-Cincinnati-F-Boris_Becker-Stefan_Edberg",2,38,28,3,19,15,4,19,32,25,4,3
"2461","19900616-M-Queens_Club-SF-Stefan_Edberg-Boris_Becker",1,69,43,2,26,22,23,22,62,40,3,3
"2462","19900616-M-Queens_Club-SF-Stefan_Edberg-Boris_Becker",2,59,44,1,30,20,23,16,54,42,2,2
"2463","20180608-M-Roland_Garros-SF-Marco_Cecchinato-Dominic_Thiem",1,114,68,3,38,68,11,35,0,0,0,0
"2464","20180608-M-Roland_Garros-SF-Marco_Cecchinato-Dominic_Thiem",2,94,71,6,38,48,8,38,5,4,87,67
"2465","20180602-M-Roland_Garros-R32-Gael_Monfils-David_Goffin",1,172,93,6,48,57,63,52,0,0,0,0
"2466","20180602-M-Roland_Garros-R32-Gael_Monfils-David_Goffin",2,177,103,4,56,65,37,75,1,1,167,102
"2467","19861026-M-Tokyo_Indoor-F-Stefan_Edberg-Boris_Becker",1,59,33,2,23,22,20,17,41,25,14,8
"2468","19861026-M-Tokyo_Indoor-F-Stefan_Edberg-Boris_Becker",2,72,46,13,36,28,8,36,40,27,30,19
"2469","20080322-M-Indian_Wells_Masters-SF-Novak_Djokovic-Rafael_Nadal",1,50,36,8,22,23,7,20,1,0,49,36
"2470","20080322-M-Indian_Wells_Masters-SF-Novak_Djokovic-Rafael_Nadal",2,51,26,2,8,17,9,25,0,0,0,0
"2471","20180617-M-Stuttgart-F-Milos_Raonic-Roger_Federer",1,61,44,14,34,29,6,26,14,11,44,33
"2472","20180617-M-Stuttgart-F-Milos_Raonic-Roger_Federer",2,66,51,4,33,33,7,26,6,4,60,47
"2473","19910907-M-US_Open-SF-Ivan_Lendl-Stefan_Edberg",1,85,45,4,23,43,21,21,8,5,75,40
"2474","19910907-M-US_Open-SF-Ivan_Lendl-Stefan_Edberg",2,82,54,4,45,31,26,25,77,53,1,1
"2475","19870222-M-Indian_Wells-F-Stefan_Edberg-Boris_Becker",1,105,62,1,36,37,31,37,48,27,56,35
"2476","19870222-M-Indian_Wells-F-Stefan_Edberg-Boris_Becker",2,87,63,10,32,32,19,36,37,27,46,36
"2477","19891105-M-Paris_Masters-F-Stefan_Edberg-Boris_Becker",1,96,55,3,31,31,36,29,69,39,24,16
"2478","19891105-M-Paris_Masters-F-Stefan_Edberg-Boris_Becker",2,73,55,10,36,28,29,16,30,26,38,29
"2479","19861109-M-Stockholm-F-Mats_Wilander-Stefan_Edberg",1,68,28,2,12,12,33,23,19,8,47,20
