"","match_id","date","player1","player2","tournament","court","surface"
"1561","20160502-M-Karshi_CH-R32-Pavel_Tsoy-Nikola_Milojevic",2016-05-02,"Pavel Tsoy","Nikola Milojevic","Karshi CH","Centre Court","Hard"
"1562","20160501-M-Munich-F-Dominic_Thiem-Philipp_Kohlschreiber",2016-05-01,"Dominic Thiem","Philipp Kohlschreiber","Munich","Center Court","Clay"
"1563","20160427-M-Istanbul-R32-Teymuraz_Gabashvili-Damir_Dzumhur",2016-04-27,"Teymuraz Gabashvili","Damir Dzumhur","Istanbul","Center","Indoor Clay"
"1564","20160425-M-Bucharest-F-Fernando_Verdasco-Lucas_Pouille",2016-04-25,"Fernando Verdasco","Lucas Pouille","Bucharest","Center","Clay"
"1565","20160421-M-Barcelona-R16-Feliciano_Lopez-Philipp_Kohlschreiber",2016-04-21,"Feliciano Lopez","Philipp Kohlschreiber","Barcelona","Pista Central","Clay"
"1566","20160420-M-Savannah_CH-R16-Tennys_Sandgren-Gerald_Melzer",2016-04-20,"Tennys Sandgren","Gerald Melzer","Savannah CH","Stadium Court","Clay"
"1567","20160416-M-Monte_Carlo_Masters-SF-Jo_Wilfried_Tsonga-Gael_Monfils",2016-04-16,"Jo Wilfried Tsonga","Gael Monfils","Monte Carlo Masters","Court Rainier III","Clay"
"1568","20160415-M-Monte_Carlo_Masters-QF-Jo_Wilfried_Tsonga-Roger_Federer",2016-04-15,"Jo Wilfried Tsonga","Roger Federer","Monte Carlo Masters","","Clay"
"1569","20160415-M-Gwangju_CH-QF-Grega_Zemlja-Matt_Reid",2016-04-15,"Grega Zemlja","Matt Reid","Gwangju CH","","Hard"
"1570","20160413-M-Monte_Carlo_Masters-R32-Rafael_Nadal-Aljaz_Bedene",2016-04-13,"Rafael Nadal","Aljaz Bedene","Monte Carlo Masters","Court Rainier 3","Clay"
"1571","20160413-M-Monte_Carlo_Masters-R32-Novak_Djokovic-Jiri_Vesely",2016-04-13,"Novak Djokovic","Jiri Vesely","Monte Carlo Masters","Court Rainier III","Clay"
"1572","20160412-M-Monte_Carlo_Masters-R64-Joao_Sousa-Ivo_Karlovic",2016-04-12,"Joao Sousa","Ivo Karlovic","Monte Carlo Masters","9","Clay"
"1573","20160410-M-Marrakech-F-Federico_Delbonis-Borna_Coric",2016-04-10,"Federico Delbonis","Borna Coric","Marrakech","Centre","Clay"
"1574","20160409-M-Houston-SF-John_Isner-Jack_Sock",2016-04-09,"John Isner","Jack Sock","Houston","Center","Clay"
"1575","20160403-M-Miami_Masters-F-Novak_Djokovic-Kei_Nishikori",2016-04-03,"Novak Djokovic","Kei Nishikori","Miami Masters","Stadium","Hard"
"1576","20160328-M-Miami_Masters-R16-Roberto_Bautista_Agut-Jo_Wilfried_Tsonga",2016-03-28,"Roberto Bautista Agut","Jo Wilfried Tsonga","Miami Masters","Court 1","Hard"
"1577","20160328-M-Miami_Masters-QF-Milos_Raonic-Nick_Kyrgios",2016-03-28,"Milos Raonic","Nick Kyrgios","Miami Masters","Stadium","Hard"
"1578","20160327-M-Miami_Masters-R32-Viktor_Troicki-David_Goffin",2016-03-27,"Viktor Troicki","David Goffin","Miami Masters","Court 1","Hard"
"1579","20160327-M-Miami_Masters-R32-Tomas_Berdych-Steve_Johnson",2016-03-27,"Tomas Berdych","Steve Johnson","Miami Masters","Stadium","Hard"
"1580","20160327-M-Miami_Masters-R32-Richard_Gasquet-Benoit_Paire",2016-03-27,"Richard Gasquet","Benoit Paire","Miami Masters","Grandstand","Hard"
"1581","20160326-M-San_Luis_Potosi_CH-SF-Marcelo_Arevalo-Federico_Gaio",2016-03-26,"Marcelo Arevalo","Federico Gaio","San Luis Potosi CH","","Clay"
"1582","20160326-M-San_Luis_Potosi_CH-SF-Albert_Montanes-Pedja_Krstin",2016-03-26,"Albert Montanes","Pedja Krstin","San Luis Potosi CH","","Clay"
"1583","20160323-M-Guadalajara_CH-R16-Dennis_Novikov-Eduardo_Struvay",2016-03-23,"Dennis Novikov","Eduardo Struvay","Guadalajara CH","","Hard"
"1584","20160320-M-Indian_Wells_Masters-F-Milos_Raonic-Novak_Djokovic",2016-03-20,"Milos Raonic","Novak Djokovic","Indian Wells Masters","Stadium 1","Hard"
"1585","20160319-M-Indian_Wells_Masters-SF-Rafael_Nadal-Novak_Djokovic",2016-03-19,"Rafael Nadal","Novak Djokovic","Indian Wells Masters","Stadium 1","Hard"
"1586","20160317-M-Indian_Wells_Masters-QF-Marin_Cilic-David_Goffin",2016-03-17,"Marin Cilic","David Goffin","Indian Wells Masters","Stadium 1","Hard"
"1587","20160316-M-Indian_Wells_Masters-R16-Jo_Wilfried_Tsonga-Dominic_Thiem",2016-03-16,"Jo Wilfried Tsonga","Dominic Thiem","Indian Wells Masters","Stadium 1","Hard"
"1588","20160315-M-Indian_Wells_Masters-R32-Gilles_Simon-Alexander_Zverev",2016-03-15,"Gilles Simon","Alexander Zverev","Indian Wells Masters","Stadium 3","Hard"
"1589","20160312-M-Indian_Wells_Masters-R64-Stan_Wawrinka-Illya_Marchenko",2016-03-12,"Stan Wawrinka","Illya Marchenko","Indian Wells Masters","Stadium 1","Hard"
"1590","20160312-M-Indian_Wells_Masters-R64-Milos_Raonic-Inigo_Cervantes_Huegun",2016-03-12,"Milos Raonic","Inigo Cervantes Huegun","Indian Wells Masters","Stadium 2","Hard"
"1591","20160312-M-Indian_Wells_Masters-R64-Jeremy_Chardy-Andrey_Kuznetsov",2016-03-12,"Jeremy Chardy","Andrey Kuznetsov","Indian Wells Masters","Stadium 5","Hard"
"1592","20160310-M-Puebla_CH-R16-Dennis_Novak-Agustin_Velotti",2016-03-10,"Dennis Novak","Agustin Velotti","Puebla CH","Court 1","Hard"
"1593","20160310-M-Indian_Wells_Masters-R128-Pablo_Carreno_Busta-Evgeny_Donskoy",2016-03-10,"Pablo Carreno Busta","Evgeny Donskoy","Indian Wells Masters","Stadium 5","Hard"
"1594","20160310-M-Indian_Wells_Masters-R128-Damir_Dzumhur-Marcel_Granollers",2016-03-10,"Damir Dzumhur","Marcel Granollers","Indian Wells Masters","Stadium 4","Hard"
"1595","20160307-M-Puebla_CH-Q3-Fernando_Romboli-Stefano_Napolitano",2016-03-07,"Fernando Romboli","Stefano Napolitano","Puebla CH","Centre Court","Hard"
"1596","20160304-M-Quimper_CH-QF-Paul_Henri_Mathieu-Igor_Sijsling",2016-03-04,"Paul Henri Mathieu","Igor Sijsling","Quimper CH","","Hard"
"1597","20160304-M-Davis_Cup_World_Group_R1-RR-Frank_Dancevic-Gael_Monfils",2016-03-04,"Frank Dancevic","Gael Monfils","Davis Cup World Group R1","Velodrome Amedee-Detraux","Clay"
"1598","20160227-M-Cherbourg_CH-SF-Jordan_Thompson-Vincent_Millot",2016-02-27,"Jordan Thompson","Vincent Millot","Cherbourg CH","","Hard"
